"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","889b736f7179",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260110063035/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/query/stats.txt",,,,"Date:","10 Jan 2026 06:41:35 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","72","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1768027295.334,3.152,1.178,92.222,3.097,0.350,5271782.441,8284340.093,1063176.167,0,0,0,0,0,2109841408,2663002112,3285192704,5493309440,11081.564,49001.914,0,34,4.018,33.790,14.660,6.090,1.243,47.454,1.018,1.058,0.940,0.903,3.226,1.328,0.232,2.407,1.075,1.164,1.075,1.239,0.337,1.328,0.566,2.556,1.605,0.965,0.839,1.818,1.605,0.428,1.733,0.835,2.641,0.467,0.452,1.159,1.041,0.949,1.123,0.991,0.137,0.008,0.006,0.022,0.009,0.233,0.069,0.100,0.009,0.008,0.010,0.009,0.005,0.008,0.007,0.028,0.178,0.011,0.020,0.107,0.013,0.049,0.031,0.026,0.015,0.014,0.015,0.005,0.391,0.036,45.467,26.081,33.790,14.660,6.090,2109841408,2663002112,3285192704,5493309440,0,34,4.018,17.982,21.927,1.790,0,0,1073737728,0,1152,64583,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,1.382,1241.401,3694.515,4031.679,0.929,0.033,0,0,0,0,0,0,0,0
1768027296.334,21.106,5.366,19.437,53.959,0.131,0,5210112,0,0,672,0,0,0,2138886144,2633809920,3285291008,5464276992,187942,351322,10,28,70,33.790,14.660,6.090,16,20,0,0,0,0,0,9,0,6,15,0,0,0,0,2,8,4,0,27,0,0,0,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,142,33.790,14.660,6.090,2138886144,2633809920,3285291008,5464276992,9,28,70,0,97,0,0,0,1073737728,0,1152,64827,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,9330,12729,15108,1.900,0,0,0,0,0,0,0,0,0
1768027297.334,22.157,5.980,20.196,51.634,0.033,0,0,0,0,336,0,0,0,2139574272,2633121792,3285291008,5463588864,215252,407469,9,32,0,33.790,14.660,6.090,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,33.790,14.660,6.090,2139574272,2633121792,3285291008,5463588864,10,30,0,0,0,0,0,0,1073737728,0,1152,64827,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,65,1819,2243,0,0,0,0,0,0,0,0,0,0
1768027298.335,21.938,6.123,17.092,54.846,0,0,0,0,0,336,0,0,0,2135764992,2636931072,3285291008,5467398144,216923,410298,10,31,0,33.790,14.660,6.090,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,33.790,14.660,6.090,2135764992,2636931072,3285291008,5467398144,10,27,0,0,0,0,0,0,1073737728,0,1152,64826,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1,1508,1493,0,0,0,0,0,0,0,0,0,0
1768027299.334,22.186,6.036,22.643,49.103,0.033,0,0,0,0,0,0,0,0,2134122496,2638573568,3285291008,5469040640,214113,404923,8,30,0,33.790,14.660,6.090,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,33.790,14.660,6.090,2134122496,2638573568,3285291008,5469040640,8,30,0,0,0,0,0,0,1073737728,0,1152,64826,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,25,1596,2163,0,0,0,0,0,0,0,0,0,0
1768027300.334,22.139,6.130,20.183,51.549,0,0,0,0,0,0,0,0,0,2134380544,2638315520,3285291008,5468782592,213034,402568,9,26,0,31.970,14.600,6.110,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,31.970,14.600,6.110,2134380544,2638315520,3285291008,5468782592,9,27,0,0,0,0,0,0,1073737728,0,1152,64826,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,28,1740,1881,0,0,0,0,0,0,0,0,0,0
1768027301.335,4.359,1.295,18.320,75.995,0.032,0,393216,0,0,0,0,0,0,2126983168,2645708800,3285295104,5476175872,45421,85392,0,33,1,31.970,14.600,6.110,2,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,34,31.970,14.600,6.110,2126983168,2645708800,3285295104,5476175872,0,33,1,0,2,0,0,0,1073737728,0,1152,64811,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,258,577,1444,2.100,0,0,0,0,0,0,0,0,0
1768027302.335,0.094,0,21.531,78.375,0,0,0,0,0,0,0,0,0,2126983168,2645708800,3285295104,5476175872,437,497,0,33,0,31.970,14.600,6.110,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,31.970,14.600,6.110,2126983168,2645708800,3285295104,5476175872,0,33,0,0,0,0,0,0,1073737728,0,1152,64811,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1,28,28,0,0,0,0,0,0,0,0,0,0
1768027303.335,0,0.031,19.019,80.762,0.187,0,0,0,0,0,0,0,0,2126983168,2645708800,3285295104,5476188160,552,613,0,33,0,31.970,14.600,6.110,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,31.970,14.600,6.110,2126983168,2645708800,3285295104,5476188160,0,33,0,0,0,0,0,0,1073737728,0,1152,64811,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,21,48,82,0,0,0,0,0,0,0,0,0,0
1768027304.335,0.031,0,18.762,81.207,0,0,0,0,0,0,0,0,0,2126983168,2645708800,3285295104,5476188160,492,510,0,33,0,31.970,14.600,6.110,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,31.970,14.600,6.110,2126983168,2645708800,3285295104,5476188160,0,33,0,0,0,0,0,0,1073737728,0,1152,64811,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2,40,35,0,0,0,0,0,0,0,0,0,0
1768027305.335,0,0.031,18.762,81.207,0,0,0,0,0,0,0,0,0,2125959168,2646732800,3285295104,5477212160,877,1642,0,33,1,29.410,14.350,6.080,6,2,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,29.410,14.350,6.080,2125959168,2646732800,3285295104,5477212160,0,33,1,0,0,0,0,0,1073737728,0,1152,64811,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,101,97,92,1.100,0,0,0,0,0,0,0,0,0
1768027306.334,42.380,14.445,22.144,19.058,1.973,0,131072,0,0,0,0,0,0,2090885120,2681643008,3285295104,5512212480,113870,281364,69,3,33,29.410,14.350,6.080,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,29.410,14.350,6.080,2090885120,2681643008,3285295104,5512212480,32,1,33,0,2,0,0,0,1073737728,0,1728,65838,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2793,16143,14879,2.300,0,0,0,0,0,0,0,0,0
